artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness
The Alan Parsons Project,Eye In The Sky (Expanded Edition),Eye In The Sky,39qYD4J4BKvZMQgxfXl5bv,0.823,0.417,-12.643,0.032,0.00098,0.0765
Fleetwood Mac,Tango in the Night (2017 Remaster),Everywhere - 2017 Remaster,4k5FeWIdUaBx5OZdvrSYP1,0.73,0.487,-10.991,0.0303,0.01,0.0852
Atlantic Starr,All In The Name Of Love,Always,2TQaMcc3BEAF5Srn7FCipl,0.606,0.532,-6.759,0.0256,0.000904,0.356
Gilbert O'Sullivan,The Berry Vest of Gilbert O'Sullivan,What's In a Kiss?,5V8bYaNg44wuUrYwPCOWCR,0.759,0.608,-7.259,0.0261,0.0,0.0924
Gilbert O'Sullivan,Back to Front (DeLuxe),Clair,0JInbW8UiGiYH1rJuOr9jA,0.724,0.53,-6.872,0.0335,0.0,0.137
Santana,Santana (III),Guajira,1z0Xw6hVTeuCOdUGxqKgHj,0.666,0.573,-12.018,0.0507,4.7e-05,0.0852
Bryan Adams,18 Til I Die,Have You Ever Really Loved A Woman?,32Gf5A7Hr8RdgggXG0Fdks,0.57,0.478,-10.185,0.0322,1.33e-05,0.0931
Tears For Fears,Shout: The Very Best Of Tears For Fears,Head Over Heels,0fFCTYF5QEU3K1R4HKfmiE,0.605,0.742,-7.031,0.0246,0.000946,0.15
Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),Heaven,7Ewz6bJ97vUqk5HdkvguFQ,0.382,0.589,-7.315,0.0267,0.0,0.122
Deep Purple,Machine Head,Highway Star,4gVTozEmzwAUXpwj3jEetX,0.298,0.895,-7.647,0.0547,0.00574,0.305
Various Artists,The best of manila sound Vol 3,How long You've been waiting,7sE4q9Joq0rrIsYM1mH4qd,0.529,0.55,-6.387,0.0287,0.0,0.459
Ambrosia,The Essentials: Ambrosia,How Much I Feel - Remastered Version,30OYvco4YZRz3wF2SP2VZC,0.676,0.508,-8.836,0.0263,0.0,0.435
John Waite,No Brakes,Missing You,1Qrdlkgg9I4J7r3P4kZNwr,0.552,0.552,-9.736,0.0364,0.0,0.046
Paul Davis,"Singer of Songs, Teller of Tales",I Go Crazy,08kvJTpcthAvvvW0BAcGHN,0.534,0.457,-8.66,0.0266,0.0004,0.203
Various Artists,Rock Ballads,I Want to Know What Love Is,5Nr9yifzGhFVgpKtcYLPwk,0.476,0.556,-7.015,0.0274,6.01e-06,0.272
The Cranberries,To The Faithful Departed,I'm Still Remembering,47y3AKHvLSLgZ1doP75cbU,0.462,0.631,-6.947,0.029,0.0,0.0793
Peabo Bryson,"Bedroom Classics, Vol. 2",If Ever You're in My Arms Again,4TIkesxpN5caX6XpsiirnH,0.599,0.442,-9.755,0.0239,0.0,0.143
Various Artists,80 Totally 80s Hits,Just Got Lucky,2iaO1TUVm4TTmPSJGNTiOh,0.642,0.977,-6.65,0.055,0.00018,0.659
KC & The Sunshine Band,Do You Wanna Go Party,Please Don't Go - Single Version,6dw6BquK0Mv72p6HpusqKN,0.482,0.615,-11.093,0.0398,1.78e-06,0.0431
Kim Carnes,Mistaken Identity,Bette Davis Eyes,0odIT9B9BvOCnXfS0e4lB5,0.675,0.649,-10.271,0.0319,0.0,0.0959
Carl Douglas,The Soul of the Kung Fu Fighter,Kung Fu Fighting,40NRm1ZLvZpUSCUXAGGZ8J,0.598,0.673,-10.431,0.0693,6.9e-05,0.289
Tears For Fears,Tears Roll Down (Greatest Hits 82-92),Laid So Low (Tears Roll Down),2rb5LIQT1bmueRnJEqFiKB,0.573,0.802,-9.696,0.0322,0.1,0.0909
Madonna,Like a Virgin,Like a Virgin,1ZPlNanZsJSPK5h9YZZFbZ,0.771,0.655,-10.842,0.0372,0.00197,0.0685
The Hollies,Distant Light (1999 Remaster),Long Cool Woman (In a Black Dress) - 1999 Remaster,5UwbnHhjnbinJH8TefuQfN,0.757,0.868,-9.326,0.062,0.00221,0.355
Debbie Gibson,Greatest Hits,Lost in Your Eyes,3Ef8B7QJE0dWnKeNJlRq0x,0.512,0.588,-8.591,0.0276,0.000806,0.0963
The Doors,L.A. Woman,Love Her Madly,3MFFDRC4wTN9JNGtzXsZlN,0.565,0.587,-7.393,0.0317,0.00493,0.0416
Aegis,Aegis Greatest Hits,Luha,2zuzdsW5BtwDcq9WmRW5bv,0.422,0.576,-6.329,0.0304,0.0,0.0811
Tears For Fears,The Hurting,Mad World,0Qv7xi6uPSqH2k82tOkGSt,0.647,0.896,-5.949,0.0509,0.0505,0.0614
The Bangles,Greatest Hits,Manic Monday,4gnAKtZkXPYjWcTnsagfA9,0.718,0.743,-5.373,0.0268,6.26e-05,0.159
Nancy Sinatra,Boots,These Boots Are Made For Walkin',2nwCO1PqpvyoFIvq3Vrj8N,0.74,0.392,-11.996,0.0824,1.11e-06,0.0965
Billy Preston,Ultimate Collection: Billy Preston,Nothing From Nothing,5n9QhVJS3XSjSc9kNJNEIU,0.809,0.726,-8.209,0.0274,0.235,0.18
The Chordettes,The Chordettes' Best,Lollipop,1hFB1obL3dCyIDigkojSTm,0.65,0.593,-6.374,0.122,0.00244,0.441
Santana,Abraxas,Oye Como Va,5u6y4u5EgDv0peILf60H5t,0.736,0.379,-13.208,0.0539,0.345,0.104
Ricky Nelson,Greatest Love Songs,Hello Mary Lou (Goodbye Heart),0IMS1Za69G3KHMX4liB2Nr,0.559,0.78,-6.597,0.0328,6.89e-06,0.0793
Ricky Nelson,The Best Of Rick Nelson (Vol. 2),Travelin' Man - Remastered,2jc4wyf3ys0zKCpxHRjEYx,0.741,0.363,-12.484,0.0335,0.0,0.117
Ringo Starr,Ringo,You're Sixteen (You’re Beautiful And You’re Mine),4MAxWahEbzU8m4bD6mSZg9,0.665,0.629,-12.852,0.0441,1.84e-05,0.0637
George McCrae,Rock Your Baby,Rock Your Baby,0iYtGebtnGzemwehimWusQ,0.595,0.824,-9.768,0.0315,0.115,0.0856
Tears For Fears,Songs From The Big Chair,Shout,2gQaQUhDCNGfBVXTvxAmXQ,0.511,0.942,-10.407,0.0429,1.87e-05,0.139
Sade,The Essential Sade,Smooth Operator - Remastered,5npUklKUlrMoY4dzBEVWCn,0.687,0.684,-5.181,0.032,0.000808,0.0441
Tears For Fears,The Seeds Of Love,Sowing The Seeds Of Love,5bEr0tYW6xvT73OiKVcEgq,0.208,0.793,-7.232,0.0513,5.67e-05,0.354
Various Artists,Lost Hits Of The 80's (Vol. 2),State Of The Nation,4qngSTqniuB6PYTE1JdbPG,0.842,0.682,-11.222,0.036,0.00367,0.0629
The Romantics,In Heat,Talking In Your Sleep,7fRvtXvJMpGfTLdF0M09a1,0.72,0.967,-4.434,0.0343,0.000345,0.142
ABBA,Super Trouper,The Winner Takes It All,2HeTmGTjl870ucJ8mF7zl5,0.457,0.785,-6.783,0.0383,0.000781,0.082
Mary MacGregor,Just Mary,Torn Between Two Lovers,0uSrLvAGZPVkO2DgCj6DfC,0.551,0.479,-9.2,0.0301,0.0901,0.148
The Church,Starfish,Under the Milky Way,1RCtHLyq1xIbgGMrYRrKJ2,0.578,0.583,-13.416,0.0269,0.199,0.125
The Cranberries,Stars: The Best Of The Cranberries 1992-2002,When You're Gone,2Qdnk7tbc4onLOIPd1eSNE,0.45,0.525,-6.893,0.0271,2.43e-06,0.254
