artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness
Harry Styles,Fine Line,Golden,45S5WTQEGOB1VHr1Q4FuPl,0.448,0.838,-5.257,0.0557,0.000131,0.131
Harry Styles,Fine Line,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,-4.209,0.0465,0.0,0.335
Harry Styles,Fine Line,Adore You,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,-3.675,0.0483,7e-06,0.102
Harry Styles,Fine Line,Lights Up,4jAIqgrPjKLTY9Gbez25Qb,0.575,0.621,-8.165,0.032,0.0045,0.141
Harry Styles,Fine Line,Falling,1ZMiCix7XSAbfAJlEZWMCp,0.567,0.267,-6.502,0.0299,1.46e-06,0.089
Harry Styles,Fine Line,To Be So Lonely,5JiH89mHrv9oWHlD0T326z,0.758,0.436,-7.269,0.0418,1.61e-05,0.335
Harry Styles,Fine Line,She,6SQLk9HSNketfgs2AyIiMs,0.535,0.521,-5.942,0.0272,0.371,0.19
Harry Styles,Fine Line,"Sunflower, Vol. 6",6iYMfxznTBlcVOgRHab2W0,0.566,0.846,-6.904,0.035,0.000795,0.121
Harry Styles,Harry Styles,Sign of the Times,5Ohxk2dO5COHF1krpoPigN,0.516,0.595,-4.63,0.0313,0.0,0.109
Harry Styles,Harry Styles,Sweet Creature,5kRPPEWFJIMox5qIkQkiz5,0.427,0.262,-8.541,0.0276,0.0,0.068
Harry Styles,Harry Styles,Kiwi,33SNO8AaciGbNaQFkxvPrW,0.375,0.93,-2.631,0.0561,0.0,0.318
Harry Styles,Harry Styles,Ever Since New York,5LABCxgmP7DATATIJXOh6n,0.389,0.537,-6.761,0.0309,3.13e-06,0.125
Harry Styles,Harry Styles,From the Dining Table,1IF5UcqRO42D12vYwceOY6,0.671,0.156,-16.288,0.0371,0.0518,0.113
Harry Styles,Sign of the Times,Sign of the Times,5ELRkzdzz0HvGpMDlfZHkV,0.518,0.575,-4.616,0.0302,0.0,0.109
Harry Styles,Watermelon Sugar,Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,0.548,0.816,-4.209,0.0465,0.0,0.335
Harry Styles,Fine Line,Cherry,2IOFZdYYkFxEHVz1w34PoL,0.53,0.512,-9.261,0.0259,0.00453,0.129
Harry Styles,Harry Styles,Two Ghosts,4B1rpPmQXwj78wk6aIGwwU,0.386,0.407,-7.095,0.0268,1.86e-06,0.0999
Harry Styles,Fine Line,Treat People With Kindness,03mMSLEJCPoGJwQhHpN5y0,0.653,0.869,-3.725,0.0382,2.2e-05,0.046
Harry Styles,As It Was,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,-5.338,0.0557,0.00101,0.311
Harry Styles,Harry's House,Music For a Sushi Restaurant,5LYMamLv12UPbemOaTPyeV,0.72,0.715,-4.652,0.04,0.0568,0.107
Harry Styles,Harry's House,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,0.714,0.728,-4.595,0.0468,0.0,0.106
Harry Styles,Harry's House,Grapejuice,4j6kId9QIqhoXvqHKgSKa0,0.645,0.721,-4.394,0.0336,0.143,0.204
Harry Styles,Harry's House,As It Was,4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,-5.338,0.0557,0.00101,0.311
Harry Styles,Harry's House,Daylight,51Zw1cKDgkad0CXv23HCMU,0.686,0.445,-7.189,0.0398,0.00144,0.175
Harry Styles,Harry's House,Little Freak,3i058E8uxTsYqJ5NWZzqSj,0.559,0.535,-7.723,0.039,0.000143,0.0954
Harry Styles,Harry's House,Matilda,6uvh0In7u1Xn4HgxOfAn8O,0.507,0.294,-10.0,0.04,1.97e-05,0.0966
Harry Styles,Harry's House,Cinema,35TyJIMR3xRouUuo2sjS6v,0.829,0.644,-7.696,0.0427,0.0511,0.0944
Harry Styles,Harry's House,Daydreaming,69w5X6uTrOaWM32IetSzvO,0.707,0.811,-5.298,0.0304,0.0152,0.131
Harry Styles,Harry's House,Keep Driving,2NcQic8JxdjAlAHuNbOIRE,0.721,0.479,-9.669,0.226,0.00156,0.182
Harry Styles,Harry's House,Satellite,0rzaRSujxA0bKyjJl6vHYq,0.576,0.457,-6.473,0.0304,3.05e-05,0.0917
Harry Styles,Harry's House,Boyfriends,6qj02zSeEJGWZ4c0dn5QzJ,0.417,0.202,-10.976,0.0357,0.0,0.108
Harry Styles,Harry's House,Love Of My Life,1mw0RgNXIpYRyyCdBQbLgA,0.555,0.536,-8.233,0.0452,0.0,0.0623
