artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness
Bruno Mars,An Evening With Silk Sonic,Smokin Out The Window,1oERlssLrpssCAY6Yqqs6c,0.627,0.618,-8.529,0.0437,0.0,0.351
Dua Lipa,Future Nostalgia,Levitating,39LLxExYz6ewLAcYrzQQyP,0.695,0.884,-2.278,0.0753,0.0,0.213
Lil Baby,In A Minute,In A Minute,3ihIZrJreMJPjQdNLrEXnP,0.643,0.605,-5.968,0.297,0.0,0.112
Bad Bunny,Un Verano Sin Ti,Moscow Mule,6Xom58OOXk2SoU711L2IXO,0.804,0.674,-5.453,0.0333,1.18e-06,0.115
Doja Cat,Planet Her,You Right,0k4d5YPDr1r7FX77VdqWez,0.828,0.621,-6.414,0.0565,0.00233,0.0845
Cole Swindell,Stereotype,She Had Me At Heads Carolina,200x8ONbPfFzByUr3fVz46,0.607,0.912,-3.449,0.0611,0.0,0.332
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),0hquQWY3xvYqN4qtiquniF,0.801,0.601,-7.574,0.255,3.23e-05,0.145
Gunna,DS4EVER,pushin P (feat. Young Thug),3XOalgusokruzA5ZBA2Qcb,0.773,0.422,-4.572,0.187,0.00693,0.129
Jordan Davis,Buy Dirt,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,0.586,0.559,-6.725,0.05,0.0,0.0872
SZA,I Hate U,I Hate U,5dXWFMwD7I7zXsInONVl0H,0.535,0.388,-9.805,0.155,0.0,0.11
Dove Cameron,Boyfriend,Boyfriend,59CfNbkERJ3NoTXDvoURjj,0.345,0.612,-6.543,0.0608,0.0,0.194
Joji,Glimpse of Us,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,-9.258,0.0531,4.78e-06,0.141
Lin-Manuel Miranda,Encanto (Original Motion Picture Soundtrack),Surface Pressure,760jhRscwGbIIe1m1IIQpU,0.65,0.584,-8.286,0.307,1.54e-06,0.042
Bailey Zimmerman,Fall In Love,Fall In Love,5gVCfYmQRPy1QJifP8f5gg,0.524,0.643,-6.055,0.0297,0.0,0.221
CKay,CKay The First,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,0.727,0.739,-3.805,0.0411,0.00137,0.161
Nicki Minaj,Super Freaky Girl,Super Freaky Girl,4C6Uex2ILwJi9sZXRdmqXp,0.95,0.891,-2.653,0.241,1.77e-05,0.309
Muni Long,Public Displays Of Affection: The Album,Hrs & Hrs,3ncmoWTwJgx63LwMTyBCXf,0.52,0.546,-4.991,0.213,0.0,0.112
Morgan Wallen,Dangerous: The Double Album,Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,0.403,0.537,-6.628,0.031,0.0,0.112
Becky G,MAMIII,MAMIII,1ri9ZUkBJVFUdgwzCnfcYs,0.843,0.7,-3.563,0.0803,0.0,0.14
Drake,Certified Lover Boy,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,-9.579,0.324,0.0,0.0834
Walker Hayes,AA,AA,77oKig47u34qCCFWKMfu1e,0.635,0.747,-6.227,0.0293,0.0,0.346
Megan Thee Stallion,Sweetest Pie,Sweetest Pie,7mFj0LlWtEJaEigguaWqYh,0.814,0.628,-7.178,0.221,0.0,0.101
KAROL G,PROVENZA,PROVENZA,7dSZ6zGTQx66c2GF91xCrb,0.87,0.516,-8.006,0.0541,0.00823,0.11
Wizkid,Made In Lagos,Essence (feat. Tems),5FG7Tl93LdH117jEKYl3Cm,0.849,0.707,-6.002,0.113,8.58e-06,0.618
Mariah Carey,Merry Christmas,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,-7.463,0.0384,0.0,0.0708
Camila Cabello,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,0.756,0.697,-6.377,0.0401,0.0,0.333
Tyler Hubbard,5 Foot 9,5 Foot 9,6AqwH2Y9FJwhUE2dCSkw1u,0.602,0.796,-5.609,0.0465,0.0,0.125
Doja Cat,Planet Her,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,0.912,0.655,-6.029,0.162,3.39e-05,0.0894
Bad Bunny,Un Verano Sin Ti,Efecto,5Eax0qFko2dh7Rl2lYs3bx,0.801,0.475,-8.797,0.0516,1.73e-05,0.0639
Bailey Zimmerman,Rock and A Hard Place,Rock and A Hard Place,4686eQ81DEswHa90bcdlC9,0.582,0.568,-7.3,0.0275,0.0,0.105
Luke Combs,Doin' This,Doin' This,4GyD3o5hWoyCuYpdlzZlRL,0.593,0.552,-5.838,0.028,1.71e-05,0.11
Adele,30,Oh My God,3Kkjo3cT83cw09VJyrLNwX,0.534,0.725,-3.906,0.046,0.0,0.0264
NEIKED,Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,0.717,0.671,-5.077,0.0337,2.54e-06,0.0921
THE ANXIETY,THE ANXIETY,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,0.773,0.47,-7.93,0.0299,0.000193,0.0851
Lauren Spencer Smith,Fingers Crossed,Fingers Crossed,3yMC1KsTwh0ceXdIe4QQAQ,0.56,0.473,-7.23,0.0533,0.0,0.31
Taylor Swift,Red (Taylor's Version),All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,0.631,0.518,-8.771,0.0303,0.0,0.088
Bad Bunny,Un Verano Sin Ti,Party,4tYFy8ALRjIZvnvSLw5lxN,0.829,0.799,-5.389,0.0897,0.000543,0.242
Bad Bunny,Un Verano Sin Ti,Después de la Playa,1dm6z1fWB0cErMszU25dy2,0.564,0.903,-3.221,0.307,0.0,0.175
Chris Stapleton,Starting Over,You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt,0.602,0.477,-8.425,0.032,3.1e-05,0.173
Brenda Lee,Merry Christmas From Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,0.589,0.472,-8.749,0.0502,0.0,0.505
Lil Durk,Broadway Girls (feat. Morgan Wallen),Broadway Girls (feat. Morgan Wallen),3DZ8dbKg4OTSSqGARvecYd,0.659,0.745,-3.599,0.0347,0.0,0.296
Parmalee,For You,Take My Name,2afB4eV1KWBqLqFqME6PTh,0.559,0.66,-4.143,0.0512,0.0,0.193
Lil Durk,7220,What Happened To Virgil (feat. Gunna),7ohROa13QK43JBRqfCmz4P,0.795,0.526,-9.086,0.204,2e-06,0.134
Future,I NEVER LIKED YOU,PUFFIN ON ZOOTIEZ,1qMMYpVatbRITKCfq1gasi,0.883,0.657,-5.748,0.305,0.0,0.128
Kane Brown,Like I Love Country Music,Like I Love Country Music,3j1xkzTW8owIphkWV51V9s,0.542,0.82,-6.073,0.0432,0.000136,0.0561
Bobby Helms,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),Jingle Bell Rock,7vQbuQcyTflfCIOu3Uzzya,0.754,0.424,-8.463,0.0363,0.0,0.0652
Bad Bunny,Un Verano Sin Ti,Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW,0.647,0.686,-5.745,0.0413,1.34e-06,0.528
Jason Aldean,GEORGIA,Trouble With A Heartbreak,3HO30hRbkOLU6ZWERayfQO,0.582,0.797,-4.926,0.0334,0.0,0.132
Burl Ives,Have A Holly Jolly Christmas,A Holly Jolly Christmas,77khP2fIVhSW23NwxrRluh,0.683,0.375,-13.056,0.0303,0.0,0.076
Doja Cat,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,0.762,0.701,-3.541,0.0286,0.000158,0.123
Russell Dickerson,She Likes It (feat. Jake Scott),She Likes It (feat. Jake Scott),6VVqPBFZIbcmv14zNfOc13,0.79,0.325,-11.689,0.127,0.0,0.155
Cole Swindell,Never Say Never (with Lainey Wilson),Never Say Never (with Lainey Wilson),03kCiUPjdAV9ur9ugm8PQT,0.472,0.937,-4.028,0.0567,0.0,0.11
Scotty McCreery,Damn Strait,Damn Strait,4jp9FimhP2bQ93vR0A5r7b,0.523,0.64,-6.15,0.0295,5.52e-05,0.0675
Tate McRae,she's all i wanna be,she's all i wanna be,0IuVhCflrQPMGRrOyoY5RW,0.614,0.644,-5.372,0.0426,7.07e-06,0.117
Jon Pardi,Last Night Lonely,Last Night Lonely,3SeeaIXnrCfT88vHVCRWHl,0.646,0.816,-2.65,0.0269,0.0,0.179
ERNEST,Flower Shops (feat. Morgan Wallen),Flower Shops (feat. Morgan Wallen),2ccuOtUjIyx3tPcsnpeBzJ,0.527,0.461,-5.908,0.0269,0.0,0.0831
Jnr Choi,TO THE MOON,TO THE MOON,5vUnjhBzRJJIAOJPde6zDx,0.745,0.65,-11.814,0.346,0.00758,0.111
Sam Smith,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,0.714,0.472,-7.375,0.0864,4.51e-06,0.266
Kane Brown,One Mississippi,One Mississippi,4FdPnT2cFrpWCmWZd7GXc3,0.471,0.846,-5.269,0.0389,2.86e-06,0.145
Maren Morris,Circles Around This Town,Circles Around This Town,13G5xv1wUKvJYbK0wYmioN,0.591,0.814,-4.986,0.0468,0.0,0.117
Bruno Mars,24K Magic,Chunky,0mBKv9DkYfQHjdMcw2jdyI,0.571,0.539,-4.446,0.116,0.0,0.125
Taylor Swift,Midnights,Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,0.733,0.436,-10.489,0.08,0.000573,0.157
Taylor Swift,Midnights,Maroon,3eX0NZfLtGzoLUxPNvRfqm,0.637,0.398,-8.294,0.0564,1.03e-06,0.101
Taylor Swift,Midnights,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,0.637,0.643,-6.571,0.0519,1.8e-06,0.142
Taylor Swift,Midnights,Snow On The Beach (feat. Lana Del Rey),1wtOxkiel43cVs0Yux5Q4h,0.663,0.319,-13.481,0.0375,0.000993,0.117
Taylor Swift,Midnights,"You're On Your Own, Kid",4D7BCuvgdJlYvlX5WlN54t,0.696,0.396,-10.289,0.0656,5.2e-06,0.125
Taylor Swift,Midnights,Midnight Rain,3rWDp9tBPQR9z6U5YyRSK4,0.643,0.363,-11.738,0.0767,5.17e-05,0.115
Taylor Swift,Midnights,Question...?,0heeNYlwOGuUSe7TgUD27B,0.751,0.502,-8.763,0.167,0.0,0.296
Taylor Swift,Midnights,Vigilante Shit,1xwAWUI6Dj0WGC3KiUPN0O,0.798,0.277,-11.096,0.39,5.25e-05,0.121
Taylor Swift,Midnights,Bejeweled,3qoftcUZaUOncvIYjFSPdE,0.696,0.559,-9.19,0.0693,5.58e-05,0.0887
Taylor Swift,Midnights,Labyrinth,0A1JLUlkZkp2EFrosoNQi0,0.406,0.306,-15.48,0.0517,0.488,0.122
Taylor Swift,Midnights,Karma,7KokYm8cMIXCsGVmUvKtqf,0.642,0.62,-7.091,0.0666,0.0,0.483
Taylor Swift,Midnights,Sweet Nothing,0wavGRldH0AWyu2zvTz8zb,0.337,0.156,-14.919,0.0518,7.72e-05,0.115
Taylor Swift,Midnights,Mastermind,7FmYn9e7KHMXcxqGSj9LjH,0.662,0.357,-14.064,0.154,0.00129,0.0837
